F,L,N,gpa
1122,1129,13,0.67
1122,1129,10,3.53
1122,1179,6,3.1
1122,1129,6,3.45
1122,1132,16,1.85
1122,1129,12,1.44
1122,1132,14,3.23
1122,1172,19,3.95
1122,1122,5,3.8
1122,1132,15,0.9
1122,1172,35,3.03
1122,1122,8,
1122,1142,19,3.26
1122,1122,8,1.92
1122,1139,27,3.92
1122,1162,41,2.78
1122,1122,7,2.1
1122,1162,40,2.46
1122,1122,6,
1122,1122,5,1.1
1122,1192,54,2.78
1122,1122,7,
1122,1172,50,3.39
1122,1122,8,1.85
1122,1126,7,3.66
1122,1152,32,3.6
1122,1122,5,
1122,1132,17,1.95
1122,1139,18,2.25
1122,1202,66,2.93
1122,1162,38,4.02
1122,1132,17,2.76
1122,1199,26,3.2
1122,1139,11,3.71
1122,1142,25,3.01
1122,1149,20,2.42
1122,1139,21,3.72
1122,1172,7,4.1
1122,1142,29,3.33
1122,1162,34,2.83
1122,1122,7,
1122,1142,12,3.45
1122,1189,47,3.14
1122,1132,17,1.53
1122,1179,45,2.6
1122,1179,10,2.33
1122,1149,22,3.59
1122,1122,8,3.0
1122,1189,22,4.03
1122,1199,42,3.2
1122,1139,19,2.21
1122,1156,35,2.72
1122,1132,8,2.85
1122,1122,9,3.3
1122,1129,13,0.1
1122,1169,47,3.55
1122,1129,12,0.26
1122,1172,56,2.63
1122,1122,7,2.2
1122,1172,26,3.86
1122,1122,5,
1122,1146,23,1.94
1122,1122,6,
1122,1129,16,3.6
1122,1122,6,3.6
1122,1139,19,3.13
1122,1122,8,0.6
1122,1122,8,3.85
1122,1179,28,3.59
1122,1122,6,4.1
1122,1139,18,3.76
1122,1179,28,3.59
1122,1139,18,2.9
1122,1142,25,3.01
1122,1159,18,2.53
1122,1219,40,3.0
1122,1129,12,4.1
1122,1122,8,2.75
1122,1172,45,2.09
1122,1229,39,2.51
1122,1209,70,3.2
1122,1129,14,2.05
1122,1199,48,3.35
1122,1149,9,3.02
1122,1159,19,1.67
1122,1122,5,
1122,1132,13,3.3
1122,1122,9,2.95
1122,1159,31,3.06
1122,1122,5,
1122,1202,52,3.14
1122,1152,58,4.0
1122,1149,26,2.12
1122,1189,67,2.03
1122,1129,6,3.45
1122,1129,9,3.0
1122,1199,16,3.28
1122,1162,7,3.4
1122,1132,14,2.63
1122,1152,23,3.9
1122,1132,15,2.47
1122,1122,5,
1122,1132,7,3.1
1122,1129,12,2.53
1122,1162,23,1.46
1122,1149,13,2.87
1122,1132,15,3.34
1122,1182,23,2.27
1122,1122,5,2.8
1122,1122,5,4.1
1122,1122,5,3.8
1122,1122,8,0.1
1122,1129,7,3.86
1122,1142,14,2.62
1122,1122,5,3.8
1122,1132,17,1.8
1122,1136,15,1.91
1122,1132,10,1.65
1122,1152,38,2.79
1122,1132,18,2.43
1122,1139,22,3.58
1122,1122,6,3.75
1122,1156,34,2.0
1122,1132,9,3.4
1122,1129,12,3.23
1122,1172,28,3.83
1122,1139,21,2.52
1122,1122,5,2.1
1122,1129,8,2.8
1122,1146,19,3.63
1122,1129,8,2.67
1122,1229,36,3.72
1122,1136,9,
1126,1126,5,2.4
1126,1136,6,3.4
1126,1126,5,
1126,1132,7,3.8
1126,1126,5,3.4
1126,1146,22,3.68
1126,1149,17,3.25
1126,1162,39,2.71
1126,1126,5,3.4
1126,1139,14,3.57
1126,1126,5,4.1
1126,1126,6,4.1
1126,1126,5,4.1
1126,1126,5,4.1
1126,1142,19,3.16
1126,1129,7,3.1
1126,1132,6,3.95
1126,1142,9,2.44
1126,1126,5,3.8
1126,1126,6,3.45
1126,1126,5,4.1
1126,1162,10,2.76
1126,1126,7,1.76
1126,1126,5,
1126,1126,6,
1126,1132,7,3.9
1126,1129,10,3.88
1126,1126,5,4.1
1126,1182,50,3.89
1126,1126,5,3.1
1126,1126,5,3.8
1126,1169,29,2.99
1126,1126,6,4.1
1126,1136,6,3.6
1126,1139,8,2.52
1126,1139,10,3.1
1126,1126,6,3.95
1126,1172,41,3.24
1126,1126,6,3.45
1126,1126,5,
1126,1126,5,4.1
1126,1209,15,3.46
1126,1126,5,2.1
1126,1219,40,3.41
1126,1129,11,4.01
1126,1126,5,
1126,1129,6,
1126,1129,11,3.71
1126,1156,7,2.9
1126,1129,6,3.1
1126,1126,5,3.8
1126,1126,5,4.1
1126,1126,5,4.1
1126,1126,6,3.25
1126,1126,6,3.95
1126,1126,6,3.4
1126,1126,6,2.4
1126,1126,5,3.8
1126,1126,6,3.6
1126,1172,37,3.53
1126,1179,52,3.17
1126,1126,5,3.4
1126,1126,5,4.1
1126,1136,6,3.95
1126,1126,5,
1126,1132,14,3.54
1126,1126,5,4.1
1126,1126,6,4.1
1126,1156,9,3.18
1126,1126,5,3.4
1126,1212,69,3.05
1126,1136,9,4.1
1126,1126,5,2.4
1126,1182,24,3.65
1126,1126,5,3.8
1126,1132,12,3.77
1126,1126,5,4.1
1126,1129,11,4.01
1126,1126,5,3.4
1126,1142,15,1.76
1126,1136,8,3.92
1126,1182,15,3.08
1126,1126,6,4.1
1126,1126,5,
1126,1126,5,4.1
1126,1126,5,
1126,1162,31,2.7
1126,1142,8,0.76
1126,1139,14,3.73
1126,1126,5,3.4
1126,1132,7,4.1
1126,1126,6,3.4
1126,1126,5,3.8
1126,1132,14,3.54
1126,1149,21,3.76
1126,1152,35,3.07
1126,1126,6,3.6
1126,1126,5,4.1
1126,1126,5,3.4
1126,1136,6,3.4
1126,1139,14,3.87
1126,1159,9,3.84
1126,1136,6,4.1
1126,1126,5,3.8
1126,1132,7,3.6
1126,1126,5,4.1
1126,1152,27,2.53
1126,1126,5,3.8
1126,1142,9,2.44
1126,1126,5,4.1
1126,1146,29,3.92
1126,1126,5,4.1
1126,1132,10,3.15
1126,1149,21,3.32
1126,1142,9,3.44
1126,1126,6,3.95
1126,1126,6,3.95
1129,1159,38,1.41
1129,1139,14,1.81
1129,1139,17,2.43
1129,1212,56,2.55
1129,1219,53,3.56
1129,1169,14,2.13
1129,1192,49,3.52
1129,1172,32,1.94
1129,1139,14,1.67
1129,1129,6,3.8
1129,1132,12,2.8
1129,1152,27,1.97
1129,1156,17,3.07
1129,1139,21,3.25
1129,1129,8,
1129,1129,6,3.8
1129,1129,6,2.1
1129,1139,17,1.43
1129,1146,22,3.01
1129,1142,21,3.62
1129,1209,57,3.28
1129,1142,18,3.65
1129,1132,11,2.65
1129,1192,51,2.96
1129,1142,22,3.11
1129,1159,29,2.45
1129,1136,12,3.42
1129,1172,43,2.62
1129,1172,41,3.39
1129,1132,14,3.61
1129,1199,52,2.1
1129,1129,10,0.6
1129,1142,21,1.3
1129,1129,5,3.1
1129,1142,22,2.83
1129,1142,15,3.38
1129,1172,54,3.38
1129,1139,13,1.77
1129,1162,27,2.04
1129,1129,8,1.53
1129,1162,48,3.65
1129,1142,16,3.1
1129,1162,39,3.47
1129,1129,5,
1129,1172,44,3.1
1129,1129,8,
1129,1142,21,3.66
1129,1129,9,0.1
1129,1139,17,3.05
1129,1202,54,3.41
1129,1132,12,2.47
1129,1169,50,2.89
1129,1139,15,2.36
1129,1139,15,2.28
1129,1132,11,2.53
1129,1182,49,3.63
1129,1159,34,2.94
1129,1129,6,0.1
1129,1132,8,0.1
1129,1132,10,1.1
1129,1129,6,3.45
1129,1209,60,3.22
1129,1192,60,2.4
1129,1139,16,2.3
1129,1162,42,3.89
1129,1129,5,
1129,1149,16,2.31
1129,1132,12,1.3
1129,1159,29,3.27
1129,1132,12,3.58
1129,1169,38,3.57
1129,1152,27,1.9
1129,1152,29,2.66
1129,1159,26,3.41
1129,1132,6,2.95
1129,1192,31,3.16
1129,1179,44,2.6
1129,1162,42,3.05
1129,1129,5,3.1
1129,1152,28,2.44
1129,1142,9,3.16
1129,1142,21,4.02
1129,1162,43,4.06
1129,1189,54,3.14
1129,1229,48,2.9
1129,1159,25,2.47
1129,1129,7,1.1
1129,1162,38,3.92
1129,1182,15,2.9
1129,1129,8,1.77
1129,1129,5,0.1
1129,1162,41,3.63
1129,1179,25,2.01
1129,1132,14,0.9
1129,1152,32,3.69
1129,1182,39,2.68
1129,1139,12,1.95
1129,1132,12,3.1
1129,1132,15,1.76
1129,1169,40,3.77
1129,1129,7,2.45
1129,1179,24,3.22
1129,1142,24,3.72
1129,1129,5,4.1
1129,1129,8,
1129,1129,8,4.1
1129,1159,26,2.24
1129,1182,45,2.15
1129,1162,41,3.63
1129,1136,13,2.43
1129,1162,44,2.72
1129,1202,64,2.3
1129,1162,26,3.76
1129,1192,65,3.15
1129,1129,8,
1129,1129,7,2.4
1129,1182,52,2.91
1129,1159,34,2.89
1129,1179,50,3.83
1129,1132,11,1.3
1129,1162,24,1.62
1129,1129,5,
1129,1146,24,2.99
1129,1189,21,3.9
1129,1162,27,3.97
1129,1219,69,2.72
1129,1146,24,2.06
1129,1162,43,3.31
1129,1152,15,3.88
1129,1136,8,0.1
1129,1142,23,3.53
1129,1162,40,2.91
1129,1146,10,3.48
1129,1142,20,1.46
1129,1142,21,3.3
1129,1129,10,2.38
1129,1182,52,3.4
1129,1129,6,2.75
1129,1156,30,2.32
1129,1142,23,1.76
1129,1152,29,3.09
1129,1156,25,3.57
1129,1139,19,3.19
1129,1132,6,2.6
1129,1172,51,2.16
1129,1146,26,3.15
1129,1132,12,2.8
1129,1192,56,2.48
1129,1172,44,3.45
1129,1209,54,3.39
1129,1202,15,3.25
1129,1199,15,3.98
1129,1149,25,2.19
1129,1159,25,3.25
1129,1129,5,3.8
1129,1152,32,2.99
1129,1209,75,3.0
1129,1172,40,3.19
1129,1129,5,4.1
1129,1159,31,2.9
1129,1132,8,3.4
1129,1189,35,3.54
1129,1152,28,2.6
1129,1129,5,
1129,1152,23,2.97
1129,1132,12,1.26
1129,1152,19,3.73
1129,1162,31,3.46
1129,1129,5,
1129,1129,5,2.4
1129,1132,13,4.1
1129,1132,6,3.4
1129,1132,11,1.82
1129,1132,13,2.76
1129,1192,43,3.89
1129,1192,49,3.84
1129,1192,48,2.45
1129,1152,18,4.03
1129,1129,9,1.27
1129,1162,18,3.7
1129,1129,5,2.8
1129,1159,27,2.7
1129,1169,41,2.99
1129,1172,34,3.35
1129,1179,51,2.62
1129,1132,15,1.76
1129,1172,11,3.05
1129,1142,20,3.96
1129,1142,14,2.22
1129,1162,41,3.63
1129,1192,43,3.5
1129,1129,7,2.0
1129,1129,7,
1129,1129,6,
1129,1129,8,0.1
1129,1129,9,0.1
1129,1162,24,3.36
1129,1169,43,2.26
1129,1132,12,1.71
1129,1149,20,2.2
1129,1212,23,3.69
1129,1179,37,2.11
1129,1139,17,2.84
1129,1162,47,3.81
1129,1132,12,2.43
1129,1152,34,2.39
1129,1132,6,4.1
1129,1162,52,3.92
1129,1172,52,3.07
1129,1142,18,1.83
1129,1149,29,3.54
1129,1192,69,3.02
1129,1132,12,3.24
1129,1129,5,4.1
1129,1142,9,3.5
1129,1159,20,3.23
1129,1152,24,3.31
1129,1149,23,2.16
1129,1132,11,3.2
1129,1229,49,3.09
1129,1129,8,1.1
1129,1129,9,0.1
1129,1192,50,2.94
1129,1129,6,4.1
1129,1142,15,3.8
1129,1139,21,3.25
1129,1129,5,
1129,1159,29,3.27
1129,1156,41,3.75
1129,1152,30,3.26
1129,1132,14,2.66
1129,1142,22,2.04
1129,1229,40,2.92
1129,1199,46,3.1
1129,1159,26,2.61
1129,1159,26,2.43
1129,1129,7,3.1
1129,1132,13,0.1
1129,1129,5,4.1
1129,1132,11,1.85
1129,1152,12,0.6
1129,1132,12,1.24
1129,1132,13,3.73
1129,1139,17,2.18
1129,1142,25,3.85
1129,1172,53,2.81
1129,1172,58,2.55
1129,1152,26,3.56
1129,1132,11,0.52
1129,1159,38,3.83
1129,1202,60,2.46
1129,1129,5,
1129,1152,24,1.48
1129,1189,55,3.22
1129,1129,5,
1129,1202,31,2.91
1129,1142,18,1.91
1129,1162,42,2.83
1129,1139,12,1.82
1129,1172,42,1.4
1129,1149,23,2.84
1129,1162,37,3.12
1129,1142,12,2.2
1129,1142,18,1.87
1129,1162,27,3.97
1129,1142,21,2.08
1129,1142,21,2.07
1129,1159,25,2.25
1129,1169,40,2.37
1129,1129,5,3.1
1129,1159,36,4.04
1129,1129,8,1.67
1129,1129,9,0.43
1129,1142,19,3.52
1129,1162,43,2.8
1129,1219,54,3.63
1129,1219,47,2.83
1129,1182,52,2.46
1129,1132,11,0.92
1129,1142,16,3.14
1129,1156,16,3.35
1129,1129,5,3.8
1129,1139,19,2.02
1129,1162,27,2.35
1129,1149,11,3.38
1129,1149,12,2.85
1129,1172,28,2.7
1129,1159,38,3.83
1129,1129,10,0.1
1129,1179,33,3.04
1129,1156,17,3.07
1129,1129,5,
1129,1142,24,1.81
1129,1162,18,3.72
1129,1189,18,2.79
1129,1139,17,2.61
1129,1182,51,3.39
1129,1149,23,1.86
1129,1149,24,3.92
1129,1132,13,0.96
1129,1169,37,2.22
1129,1129,9,0.1
1129,1169,43,3.51
1129,1132,12,2.31
1129,1129,5,
1129,1129,5,2.4
1129,1162,40,4.1
1129,1132,13,1.22
1129,1149,15,3.37
1129,1139,11,3.8
1129,1129,8,2.86
1129,1179,45,3.84
1129,1139,17,1.89
1129,1132,12,0.92
1129,1179,34,2.55
1129,1149,12,3.1
1129,1182,44,2.44
1129,1172,47,3.54
1129,1132,12,1.45
1129,1192,55,3.43
1129,1159,11,3.81
1129,1162,37,3.37
1129,1129,8,1.45
1129,1132,9,2.2
1129,1132,13,2.64
1129,1159,20,3.45
1129,1152,22,2.6
1129,1132,11,3.93
1129,1132,9,3.25
1129,1182,26,3.21
1129,1212,49,1.97
1129,1172,49,3.4
1129,1172,45,2.36
1129,1152,29,2.75
1129,1142,22,3.26
1129,1132,14,1.17
1129,1182,53,3.42
1129,1189,57,2.74
1129,1192,56,2.46
1129,1132,9,3.96
1129,1132,8,4.1
1129,1132,14,3.1
1129,1172,47,2.8
1129,1212,35,3.61
1129,1142,12,3.1
1129,1132,12,2.47
1129,1132,13,3.68
1129,1149,23,2.31
1129,1129,5,4.1
1129,1132,11,2.76
1129,1152,24,3.39
1129,1172,25,2.77
1129,1129,5,2.8
1129,1179,56,3.52
1129,1202,62,2.23
1129,1142,20,2.75
1129,1179,48,2.39
1129,1129,5,3.4
1129,1132,13,3.64
1129,1222,60,3.2
1129,1172,41,3.42
1129,1129,5,3.1
1129,1142,8,3.75
1129,1139,9,1.25
1129,1129,5,2.4
1129,1142,19,2.83
1129,1142,16,1.17
1129,1159,24,3.61
1129,1132,9,0.1
1129,1132,11,0.35
1129,1129,8,2.1
1129,1172,50,3.16
1129,1209,40,2.82
1129,1142,23,2.37
1129,1162,27,2.48
1129,1132,7,3.1
1129,1229,62,2.38
1129,1129,8,
1129,1129,5,4.1
1129,1139,19,2.02
1129,1162,39,3.19
1129,1169,16,3.24
1129,1132,13,1.38
1129,1139,13,3.97
1129,1129,5,4.1
1129,1142,20,2.77
1129,1129,5,4.1
1129,1162,41,3.74
1129,1132,10,1.85
1129,1142,16,1.95
1129,1129,5,
1129,1152,33,2.8
1129,1149,26,3.02
1129,1132,13,3.48
1129,1139,16,1.43
1129,1152,20,3.89
1129,1162,39,3.19
1129,1172,35,1.97
1129,1192,43,2.98
1129,1142,20,1.74
1129,1132,6,3.6
1129,1129,9,1.6
1129,1162,44,2.72
1129,1229,35,3.92
1129,1132,13,0.1
1129,1132,12,0.1
1129,1149,17,2.07
1129,1162,41,3.62
1129,1209,41,3.16
1129,1159,34,3.72
1129,1202,45,3.61
1129,1132,11,1.36
1129,1132,12,1.77
1129,1152,18,1.96
1129,1152,48,3.93
1129,1222,60,3.2
1129,1129,9,1.6
1129,1142,20,2.72
1129,1132,12,2.1
1129,1132,13,3.0
1129,1142,16,3.1
1129,1182,39,2.68
1129,1139,19,2.75
1129,1139,20,2.18
1129,1132,12,2.47
1129,1132,6,4.1
1129,1169,41,3.82
1129,1129,6,3.95
1129,1149,24,3.05
1129,1182,34,1.5
1129,1132,14,1.42
1129,1172,49,2.76
1129,1146,25,2.79
1129,1169,43,3.33
1129,1169,36,2.01
1129,1129,5,4.1
1129,1149,23,2.23
1129,1142,18,0.96
1129,1142,29,3.95
1129,1149,27,3.25
1129,1132,11,1.6
1129,1159,24,3.91
1129,1162,21,2.6
1129,1229,20,3.7
1129,1132,11,0.76
1129,1172,40,2.69
1129,1179,40,3.62
1129,1132,9,3.42
1129,1152,18,3.84
1129,1149,12,0.1
1129,1142,24,3.44
1129,1139,16,1.4
1129,1132,11,2.76
1129,1182,26,3.21
1129,1132,11,2.76
1129,1172,39,3.83
1129,1202,47,3.22
1129,1129,8,0.1
1129,1179,42,2.97
1129,1149,9,3.9
1129,1192,56,2.48
1129,1132,12,2.52
1129,1162,42,3.13
1129,1132,15,1.76
1129,1146,15,3.34
1129,1169,40,2.39
1129,1152,16,3.05
1129,1142,18,2.14
1129,1152,16,2.48
1129,1142,20,1.81
1129,1152,23,1.97
1129,1132,6,3.8
1129,1129,10,0.6
1129,1169,27,1.67
1129,1169,40,2.89
1129,1152,28,1.84
1129,1132,12,2.35
1129,1219,69,2.72
1129,1129,5,
1129,1129,8,0.1
1129,1129,8,0.1
1129,1132,11,0.35
1129,1132,14,3.6
1129,1172,48,2.7
1129,1156,29,2.2
1129,1139,16,1.77
1129,1132,13,1.95
1129,1169,46,2.89
1129,1129,5,3.8
1129,1142,16,3.1
1129,1169,26,3.95
1129,1169,46,2.74
1129,1229,43,3.48
1129,1182,49,2.81
1129,1129,5,3.8
1129,1139,22,3.55
1129,1159,18,2.1
1129,1199,56,3.55
1129,1202,43,3.04
1129,1172,27,2.57
1129,1209,28,1.81
1129,1129,5,3.8
1129,1139,17,1.26
1129,1132,12,0.1
1129,1162,32,1.75
1129,1192,32,3.52
1129,1182,56,2.74
1129,1132,11,2.1
1129,1132,10,2.2
1129,1159,38,3.61
1129,1129,5,2.4
1129,1149,21,2.09
1129,1129,8,1.45
1129,1169,47,3.43
1129,1132,9,2.36
1129,1172,27,1.4
1129,1142,20,1.81
1129,1132,12,0.7
1129,1142,23,2.2
1129,1129,6,3.6
1129,1129,5,3.1
1129,1142,23,3.06
1129,1169,39,3.74
1129,1156,18,1.25
1129,1162,42,3.05
1129,1129,8,3.8
1129,1129,5,
1129,1169,40,2.39
1129,1189,35,3.44
1129,1132,12,1.43
1129,1182,55,2.89
1129,1199,49,4.02
1129,1192,67,2.57
1129,1129,5,
1129,1182,45,2.15
1129,1219,54,3.63
1129,1169,40,2.76
1129,1172,52,3.07
1129,1132,14,3.61
1129,1129,8,0.43
1129,1152,24,2.48
1129,1132,12,3.85
1129,1136,13,0.97
1129,1142,15,3.8
1129,1129,8,3.1
1129,1129,9,1.5
1129,1129,5,
1129,1129,5,4.1
1129,1182,54,2.94
1129,1136,14,1.85
1129,1132,12,0.85
1129,1169,30,2.4
1129,1149,23,2.16
1129,1129,5,3.4
1129,1129,5,3.1
1129,1132,12,0.1
1129,1179,41,3.17
1129,1219,24,3.75
1129,1129,8,2.76
1129,1149,24,3.92
1129,1182,51,3.39
1129,1129,6,
1129,1132,12,0.86
1129,1179,50,3.56
1129,1159,34,2.51
1129,1182,59,2.22
1129,1142,17,2.1
1129,1156,21,2.8
1129,1179,16,3.42
1129,1152,27,1.72
1129,1139,17,2.84
1129,1142,18,2.69
1129,1129,5,2.8
1129,1179,49,2.62
1129,1132,11,0.7
1129,1162,42,3.36
1129,1162,41,3.14
1129,1149,12,0.1
1129,1129,5,4.1
1129,1169,43,2.51
1129,1162,19,2.71
1129,1179,44,2.89
1129,1229,53,3.72
1129,1159,33,3.09
1129,1152,16,3.05
1129,1162,24,3.46
1129,1129,8,
1129,1129,5,2.8
1129,1132,6,3.45
1129,1132,15,2.51
1129,1172,24,3.44
1129,1229,72,2.87
1129,1172,46,2.92
1129,1152,30,2.5
1129,1129,5,
1129,1129,9,0.1
1129,1162,54,3.98
1129,1169,35,2.78
1129,1219,14,4.1
1129,1129,5,4.1
1129,1129,8,0.1
1129,1132,12,3.77
1129,1129,5,2.8
1129,1159,27,3.61
1129,1129,5,3.1
1129,1182,55,2.89
1129,1129,5,1.1
1129,1172,53,2.74
1129,1142,25,2.73
1129,1162,45,3.59
1129,1129,5,4.1
1129,1149,17,2.95
1129,1179,43,2.86
1129,1179,42,2.97
1129,1182,46,2.9
1129,1132,7,4.0
1129,1179,34,2.22
1129,1162,29,2.66
1129,1229,20,1.83
1129,1129,8,0.1
1129,1149,26,2.3
1129,1132,13,3.64
1129,1162,43,3.28
1129,1149,24,2.82
1129,1152,7,
1129,1182,42,2.35
1129,1129,9,1.27
1129,1142,22,2.22
1129,1142,20,2.13
1129,1172,41,3.99
1129,1189,57,1.99
1129,1162,39,2.88
1129,1156,31,1.95
1129,1202,56,2.45
1129,1149,17,2.07
1129,1152,32,3.04
1129,1172,49,3.8
1129,1152,30,1.96
1129,1132,11,0.92
1129,1179,51,2.72
1129,1132,11,0.92
1129,1202,15,4.06
1129,1129,5,2.4
1129,1142,22,2.72
1129,1132,12,3.5
1129,1159,11,2.92
1129,1132,13,0.67
1129,1132,12,0.43
1129,1162,42,2.98
1129,1172,45,3.4
1129,1129,6,2.45
1129,1162,32,2.36
1129,1132,11,2.72
1129,1129,8,3.1
1129,1132,14,3.22
1129,1129,9,1.17
1129,1132,11,2.48
1129,1156,36,1.82
1129,1192,57,2.32
1129,1162,48,3.12
1129,1162,42,3.71
1129,1129,5,4.1
1129,1139,12,2.1
1129,1132,12,2.33
1129,1129,9,
1129,1189,51,2.41
1129,1222,60,3.2
1129,1129,5,4.1
1129,1172,55,3.29
1129,1159,24,3.16
1129,1169,40,3.62
1129,1182,45,3.97
1129,1132,13,2.83
1129,1142,8,3.67
1129,1169,32,3.84
1129,1142,23,1.22
1129,1132,8,3.45
1129,1179,54,2.2
1129,1169,40,3.51
1129,1152,22,1.3
1129,1129,5,2.4
1129,1172,44,3.09
1129,1182,51,2.96
1129,1142,19,1.86
1129,1149,12,0.1
1129,1152,27,2.17
1129,1152,18,3.84
1129,1142,21,2.13
1129,1172,32,2.23
1129,1142,16,1.1
1129,1132,12,3.5
1129,1192,52,2.12
1129,1212,31,3.03
1129,1192,60,3.0
1129,1156,41,3.02
1129,1132,11,0.92
1129,1149,26,2.76
1129,1169,44,2.84
1129,1172,38,3.57
1129,1129,5,4.1
1129,1229,53,3.72
1129,1129,5,4.1
1129,1129,5,3.4
1129,1162,44,3.51
1129,1179,50,3.83
1129,1132,13,3.35
1129,1132,12,2.31
1129,1179,43,3.32
1129,1129,7,1.75
1129,1192,29,3.42
1129,1162,12,3.1
1129,1132,12,0.86
1129,1132,9,0.1
1129,1149,25,2.94
1129,1142,20,2.77
1129,1132,10,1.1
1129,1129,5,
1129,1189,57,2.74
1129,1132,13,3.64
1129,1192,50,3.63
1129,1132,13,1.51
1129,1162,43,2.24
1129,1129,8,1.75
1129,1132,11,0.7
1129,1199,30,3.3
1129,1212,50,3.1
1129,1179,40,2.04
1129,1132,13,1.88
1129,1172,32,3.11
1129,1142,14,3.91
1129,1129,8,
1129,1182,56,2.71
1129,1182,52,3.16
1129,1132,14,0.86
1129,1129,5,3.1
1129,1172,38,3.23
1129,1162,36,2.23
1129,1142,20,2.6
1129,1132,12,0.85
1129,1152,10,3.21
1129,1162,40,3.91
1129,1132,10,2.42
1129,1136,8,2.1
1129,1162,42,3.05
1129,1149,26,2.98
1129,1142,23,2.79
1129,1139,16,1.15
1129,1129,8,0.1
1129,1212,31,2.69
1129,1152,16,2.0
1129,1212,8,4.1
1129,1162,38,2.47
1129,1132,13,3.48
1129,1142,14,3.54
1129,1142,23,1.92
1129,1219,22,2.15
1129,1169,35,3.57
1129,1229,48,2.86
1129,1132,12,1.71
1129,1179,45,2.7
1129,1132,11,0.1
1129,1132,8,3.4
1129,1129,5,3.1
1129,1132,11,1.22
1129,1129,6,
1129,1139,16,2.4
1129,1132,11,0.92
1129,1129,8,
1129,1129,8,
1129,1129,8,1.77
1129,1152,15,3.22
1129,1129,5,4.1
1129,1132,10,3.43
1129,1189,55,3.22
1129,1142,24,3.63
1129,1132,12,1.43
1129,1142,18,1.73
1129,1149,23,3.96
1129,1139,10,3.1
1129,1162,37,2.47
1129,1132,11,3.55
1129,1129,6,2.4
1129,1129,5,4.1
1129,1142,23,2.1
1129,1142,16,3.06
1129,1162,42,2.75
1129,1162,6,2.1
1129,1156,29,2.2
1129,1159,38,3.83
1129,1139,12,2.34
1129,1162,31,3.46
1129,1129,5,4.1
1129,1192,76,2.37
1129,1132,13,3.68
1129,1132,8,3.37
1129,1162,40,3.61
1129,1152,10,3.21
1129,1132,12,0.7
1129,1159,38,3.85
1129,1169,40,2.94
1129,1129,8,
1129,1192,48,2.4
1129,1129,8,3.3
1132,1142,7,3.9
1132,1132,7,2.43
1132,1132,7,4.1
1132,1202,49,3.7
1132,1179,42,3.19
1132,1139,7,3.6
1132,1132,5,4.1
1132,1142,17,3.18
1132,1182,52,1.79
1132,1132,5,4.1
1132,1142,9,1.86
1132,1132,8,0.1
1132,1132,8,2.92
1132,1182,62,2.24
1132,1179,22,2.25
1132,1132,8,3.45
1132,1152,26,2.85
1132,1132,5,2.8
1132,1212,65,2.74
1132,1132,5,2.1
1132,1132,5,3.8
1132,1189,52,2.35
1132,1192,48,3.64
1132,1139,7,3.3
1132,1132,5,4.1
1132,1139,12,
1132,1132,6,3.95
1132,1132,5,
1132,1172,39,4.01
1132,1132,5,
1132,1132,8,
1132,1132,5,0.1
1132,1182,50,2.99
1132,1132,7,
1132,1132,8,0.6
1132,1142,12,3.55
1132,1159,21,1.76
1132,1209,33,2.51
1132,1132,5,4.1
1132,1132,8,1.76
1132,1152,21,2.32
1132,1132,5,4.1
1132,1132,5,0.1
1132,1152,27,3.23
1132,1136,6,3.4
1132,1189,30,2.93
1132,1152,21,1.83
1132,1182,48,3.07
1132,1199,45,2.27
1132,1132,7,0.76
1132,1132,7,
1132,1179,45,2.91
1132,1139,7,2.6
1132,1132,7,3.4
1132,1132,5,
1132,1192,14,2.93
1132,1139,13,2.05
1132,1172,39,3.37
1132,1139,7,3.4
1132,1179,41,2.99
1132,1229,38,2.98
1132,1172,28,2.74
1132,1142,7,3.95
1132,1149,17,2.52
1132,1189,34,1.67
1132,1192,23,3.47
1132,1182,31,3.88
1132,1132,5,
1132,1202,35,3.48
1132,1169,33,3.75
1132,1199,34,2.86
1132,1142,9,3.7
1132,1162,34,1.94
1132,1152,25,2.82
1132,1159,25,2.85
1132,1159,12,3.1
1132,1139,14,3.9
1132,1159,24,2.1
1132,1132,6,2.95
1132,1149,9,3.58
1132,1132,7,1.25
1132,1132,5,3.4
1132,1142,17,3.2
1132,1159,19,2.9
1132,1132,8,
1132,1139,12,1.56
1132,1172,31,3.47
1132,1132,5,2.4
1132,1132,5,
1132,1156,13,1.21
1132,1202,17,3.43
1132,1132,8,3.0
1132,1149,10,2.82
1132,1142,16,1.6
1132,1172,55,3.06
1132,1162,33,2.35
1132,1212,65,2.74
1132,1149,17,3.91
1132,1132,5,3.1
1132,1192,57,3.07
1132,1182,43,3.54
1132,1192,51,1.84
1132,1132,8,0.1
1132,1132,8,2.1
1132,1139,6,3.6
1132,1202,63,2.44
1132,1152,24,2.26
1132,1159,18,3.85
1132,1229,67,2.43
1132,1139,10,3.38
1132,1132,8,
1132,1142,17,2.15
1132,1142,16,2.4
1132,1182,42,2.98
1132,1139,8,3.6
1132,1152,12,2.91
1132,1142,16,3.9
1132,1142,16,3.51
1132,1152,15,2.44
1132,1149,22,3.21
1132,1132,6,
1132,1192,25,3.5
1132,1192,30,1.75
1132,1139,16,2.58
1132,1179,52,3.19
1132,1172,39,3.19
1132,1139,12,1.27
1132,1132,5,4.1
1132,1132,5,4.1
